Date,Confirmed,,,,,,,,,,,,,,,,,,2/15/2020,2/16/2020,2/17/2020
3/20/2020,1,,,,,,,,,,,,,,,,,,,,
3/20/2020,4,,,,,,,,,,,,,,,,,,,,
3/20/2020,10,,,,,,,,,,,,,,,,,,,,
3/20/2020,23,,,,,,,,,,,,,,,,,,,,
3/20/2020,3,,,,,,,,,,,,,,,,,,,,
3/20/2020,2,,,,,,,,,,,,,,,,,,,,
3/21/2020,3,,,,,,,,,,,,,,,,,,,,
3/21/2020,1,,,,,,,,,,,,,,,,,,,,
3/21/2020,26,,,,,,,,,,,,,,,,,,,,
3/21/2020,7,,,,,,,,,,,,,,,,,,,,
3/21/2020,17,,,,,,,,,,,,,,,,,,,,
3/21/2020,2,,,,,,,,,,,,,,,,,,,,
3/21/2020,15,,,,,,,,,,,,,,,,,,,,
3/21/2020,40,,,,,,,,,,,,,,,,,,,,
3/21/2020,4,,,,,,,,,,,,,,,,,,,,
3/21/2020,63,,,,,,,,,,,,,,,,,,,,
3/21/2020,2,,,,,,,,,,,,,,,,,,,,
3/21/2020,1,,,,,,,,,,,,,,,,,,,,
3/21/2020,13,,,,,,,,,,,,,,,,,,,,
3/21/2020,17,,,,,,,,,,,,,,,,,,,,
3/21/2020,3,,,,,,,,,,,,,,,,,,,,
3/21/2020,21,,,,,,,,,,,,,,,,,,,,
3/21/2020,1,,,,,,,,,,,,,,,,,,,,
3/21/2020,4,,,,,,,,,,,,,,,,,,,,
3/21/2020,13,,,,,,,,,,,,,,,,,,,,
3/21/2020,24,,,,,,,,,,,,,,,,,,,,
3/21/2020,3,,,,,,,,,,,,,,,,,,,,
3/21/2020,3,,,,,,,,,,,,,,,,,,,,
3/22/2020,5,,,,,,,,,,,,,,,,,,,,
3/22/2020,2,,,,,,,,,,,,,,,,,,,,
3/22/2020,1,,,,,,,,,,,,,,,,,,,,
3/22/2020,29,,,,,,,,,,,,,,,,,,,,
3/22/2020,18,,,,,,,,,,,,,,,,,,,,
